============================================================
Training run 2 started at 2026-05-09 11:15:39
============================================================
Using device: cuda
GPU: Tesla T4
Game: Qbert
Number of actions: 6
Hyperparameters:
  learning_rate: 0.0001
  gamma: 0.99
  buffer_size: 500000
  batch_size: 32
  epsilon_start: 1.0
  epsilon_end: 0.1
  epsilon_decay_steps: 1000000
  total_steps: 2500000
  eval_freq: 10000
  eval_episodes: 5
Collecting fixed states for Q-value tracking...
Collected 1000 fixed states

Starting training run 2...
Total steps: 2500000 (starting from 1)
Evaluation every 10000 steps
--------------------------------------------------
Step 1050000 | Eval Reward:   400.00 | Avg Max Q:   4.57 | Loss:   0.0845 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  19 | Train R:  486.84 | 112.9 steps/s
Step 1060000 | Eval Reward:   525.00 | Avg Max Q:   5.02 | Loss:   0.0832 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  18 | Train R:  477.78 | 113.8 steps/s
Step 1070000 | Eval Reward:   500.00 | Avg Max Q:   6.58 | Loss:   0.0872 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  17 | Train R:  461.76 | 110.5 steps/s
Step 1080000 | Eval Reward:   750.00 | Avg Max Q:   5.40 | Loss:   0.0862 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  18 | Train R:  497.22 | 108.8 steps/s
Step 1090000 | Eval Reward:   650.00 | Avg Max Q:   5.45 | Loss:   0.0871 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  15 | Train R:  553.33 | 111.7 steps/s
Step 1100000 | Eval Reward:   325.00 | Avg Max Q:   5.29 | Loss:   0.0882 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  17 | Train R:  576.47 | 111.8 steps/s
Step 1110000 | Eval Reward:   700.00 | Avg Max Q:   4.93 | Loss:   0.0806 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  14 | Train R:  585.71 | 112.1 steps/s
Step 1120000 | Eval Reward:   400.00 | Avg Max Q:   5.34 | Loss:   0.0768 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  17 | Train R:  494.12 | 109.3 steps/s
Step 1130000 | Eval Reward:   575.00 | Avg Max Q:   4.40 | Loss:   0.0786 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  19 | Train R:  506.58 | 110.8 steps/s
Step 1140000 | Eval Reward:   450.00 | Avg Max Q:   5.02 | Loss:   0.0853 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  16 | Train R:  507.81 | 108.3 steps/s
Step 1150000 | Eval Reward:   350.00 | Avg Max Q:   6.27 | Loss:   0.0760 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  19 | Train R:  538.16 | 109.5 steps/s
Step 1160000 | Eval Reward:   725.00 | Avg Max Q:   5.09 | Loss:   0.0776 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  18 | Train R:  480.56 | 111.6 steps/s
Step 1170000 | Eval Reward:   975.00 | Avg Max Q:   5.89 | Loss:   0.0810 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  17 | Train R:  569.12 | 109.8 steps/s
Step 1180000 | Eval Reward:   575.00 | Avg Max Q:   5.83 | Loss:   0.0742 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  18 | Train R:  550.00 | 111.1 steps/s
Step 1190000 | Eval Reward:   425.00 | Avg Max Q:   4.68 | Loss:   0.0766 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  19 | Train R:  501.32 | 113.9 steps/s
Step 1200000 | Eval Reward:   425.00 | Avg Max Q:   5.33 | Loss:   0.0771 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  15 | Train R:  538.33 | 111.8 steps/s
Step 1210000 | Eval Reward:   750.00 | Avg Max Q:   6.83 | Loss:   0.0734 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  17 | Train R:  514.71 | 110.4 steps/s
Step 1220000 | Eval Reward:   425.00 | Avg Max Q:   6.65 | Loss:   0.0706 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  17 | Train R:  497.06 | 111.6 steps/s
Step 1230000 | Eval Reward:   475.00 | Avg Max Q:   4.92 | Loss:   0.0696 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  15 | Train R:  561.67 | 113.6 steps/s
Step 1240000 | Eval Reward:   350.00 | Avg Max Q:   8.60 | Loss:   0.0693 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  18 | Train R:  541.67 | 116.0 steps/s
Step 1250000 | Eval Reward:   500.00 | Avg Max Q:   5.50 | Loss:   0.0665 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  19 | Train R:  568.42 | 114.3 steps/s
Step 1260000 | Eval Reward:   450.00 | Avg Max Q:   4.63 | Loss:   0.0686 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  16 | Train R:  550.00 | 112.2 steps/s
Step 1270000 | Eval Reward:   575.00 | Avg Max Q:   5.92 | Loss:   0.0658 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  19 | Train R:  513.16 | 109.6 steps/s
Step 1280000 | Eval Reward:   400.00 | Avg Max Q:   6.67 | Loss:   0.0644 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  19 | Train R:  490.79 | 110.0 steps/s
Step 1290000 | Eval Reward:   350.00 | Avg Max Q:   7.45 | Loss:   0.0638 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  18 | Train R:  486.11 | 115.2 steps/s
